Ad_link,location,house_type,sqft,bedrooms,bathrooms,furnishing,constr_info,floor_no,facing,price
https://www.olx.in/item/palanpur-jakatnaka-palanpur-surat-iid-1669054552,"Palanpur Jakatnaka, Surat, Gujarat",['Apartments'],['625'],['1'],['1'],['Unfurnished'],['Ready to Move'],,,"₹ 17,00,000"
https://www.olx.in/item/pal-adajan-surat-iid-1667958429,"Adajan, Surat, Gujarat",['Apartments'],['1950'],['3'],['3'],['Unfurnished'],['Ready to Move'],,['East'],"₹ 68,00,000"
https://www.olx.in/item/developing-area-narthan-iid-1666837696,"Narthan Dandi Road, Surat, Gujarat",['Houses & Villas'],['1500'],['3'],['3'],['Unfurnished'],['Under Construction'],,['East'],"₹ 53,11,000"
https://www.olx.in/item/near-laxmi-farm-jahangirpura-next-to-d-g-v-c-l-office-jahangirpura-iid-1662177258,"Jahangir Pura, Surat, Gujarat",['Apartments'],['1110'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],,['North'],"₹ 29,00,000"
https://www.olx.in/item/opposite-raj-world-commercial-complx-palanpur-adajan-iid-1659276277,"Palanpur, Surat, Gujarat",['Apartments'],['1130'],['2'],['2'],['Unfurnished'],['Ready to Move'],,['East'],"₹ 34,00,000"
https://www.olx.in/item/o-brokerage-gaupath-road-touch-adajan-surat-iid-1657650504,"Gauravpath Road, Surat, Gujarat",['Apartments'],['1209'],['2'],['2'],['Unfurnished'],['Under Construction'],,['East'],"₹ 47,75,000"
https://www.olx.in/item/new-3-bhk-villa-changanacherry-town15-km-frombypass-railway-station-iid-1684202947,"Fathimapuram, Changanacheri, Kerala",['Houses & Villas'],['1250'],['3'],['3'],['Semi-Furnished'],['New Launch'],['1'],['West'],"₹ 54,50,000"
https://www.olx.in/item/12-1rk-flat-iid-1675173523,"Shiupur, Varanasi, Uttar Pradesh",['Apartments'],['300'],['1'],['1'],['Unfurnished'],['New Launch'],['0'],['East'],"₹ 12,00,000"
https://www.olx.in/item/urapakkam-aiyencheri-nr-saraswathi-mat-school-16km-from-gst-road-iid-1684176979,"Urapakkam, Chennai, Tamil Nadu",['Apartments'],['543'],['1'],['1'],['Unfurnished'],['Ready to Move'],['1'],['North'],"₹ 19,99,997"
https://www.olx.in/item/top-floor-gauravpath-road-touch-campus-new-construction-adajan-surat-iid-1652038662,"Gauravpath Road, Surat, Gujarat",['Apartments'],['1233'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],,['East'],"₹ 41,00,000"
https://www.olx.in/item/ready-to-move-project-palanpur-adajan-iid-1652037177,"Palanpur, Surat, Gujarat",['Apartments'],['712'],['1'],['1'],['Unfurnished'],['Ready to Move'],,['East'],"₹ 24,00,000"
https://www.olx.in/item/gauravpath-road-under-construction-project-iid-1652033803,"Gauravpath Road, Surat, Gujarat",['Apartments'],['771'],['1'],['1'],['Unfurnished'],['Under Construction'],,['East'],"₹ 27,11,000"
https://www.olx.in/item/near-gangeshwar-mahadev-temple-opposite-s-m-c-library-adajan-surat-iid-1651944026,"Anand Mahal Road Area, Surat, Gujarat",['Apartments'],['1750'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,['East'],"₹ 50,00,000"
https://www.olx.in/item/55-marlas-kothi-in-just-56-lacs-near-urban-estate-phase-2-iid-1600497414,"Kalkidhar Avenue, Jalandhar, Punjab",['Houses & Villas'],['2500'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],['2'],,"₹ 56,00,000"
https://www.olx.in/item/3-bhk-flat-in-just-45-lacs-nr-urban-estate-phase-2-iid-1544267183,"Urban Estate, Jalandhar, Punjab",['Apartments'],['1400'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 45,00,000"
https://www.olx.in/item/luxurious-flats-villas-cheaper-rates-65-lac-nr-66-ft-rd-iid-1530267327,"Kalkidhar Avenue, Jalandhar, Punjab",['Apartments'],['2360'],['3'],['3'],['Semi-Furnished'],['New Launch'],,,"₹ 65,00,000"
https://www.olx.in/item/4-to-10-marla-brand-new-kothies-for-sale-curo-pvr-cinema-66-ft-road-iid-1526219507,"Kalkidhar Avenue, Jalandhar, Punjab",['Houses & Villas'],['3000'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 62,00,000"
https://www.olx.in/item/2-cent-1400-sqft-3-bhk-brand-new-independent-villa-sale-at-edappally-iid-1679448988,"Edappally, Kochi, Kerala",['Houses & Villas'],['1700'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 48,00,000"
https://www.olx.in/item/2bhk-165-45--iid-1685047325,"Enikepadu, Vijayawada, Andhra Pradesh",['Houses & Villas'],['1400'],['2'],['2'],['Unfurnished'],['Under Construction'],['1'],['East'],"₹ 45,00,000"
https://www.olx.in/item/2bhk-135-35--iid-1685046878,"Vijayawada Bus Stand Area, Vijayawada, Andhra Pradesh",['Houses & Villas'],['1000'],['2'],['2'],['Furnished'],['New Launch'],['1'],['North-East'],"₹ 35,00,000"
